,CodeVehicule_id,puissanceFiscal,typeImmatriculation,energie,dateInsertion,codeMarque,numImmatriculation
1107605,1147874,11,TU,ESSENCE,2017-10-05,93,3605TU193
1107606,1148702,4,TU,ESSENCE,2017-10-05,29,480TU110
1107607,1149246,7,TU,GASOIL,2017-10-05,12,7895TU154
1107608,1150504,5,TU,ESSENCE,2017-10-05,107,160TU168
1107609,1153011,10,TU,GASOIL,2017-10-05,347,4062TU120
1107610,1154465,5,TU,ESSENCE,2018-02-13,30,9485TU181
1107611,1154597,4,TU,ESSENCE,2018-02-13,347,5088TU200
1107612,1352340,6,TU,ESSENCE,2018-02-13,29,3698TU136
1107613,1192335,10,TU,GASOIL,2018-02-13,376,1771TU111
1107614,1194785,10,TU,GASOIL,2018-02-13,376,1545TU100
1107615,1196371,7,RS,ESSENCE,2018-02-13,107,RS163804
1107616,1198451,6,RS,GASOIL,2018-02-13,30,RS167400
1107617,1199508,8,TU,GASOIL,2018-02-12,30,2969TU196
1107618,1200096,8,RS,GASOIL,2018-02-13,376,RS154095
1107619,1201838,10,TU,GASOIL,2018-02-13,376,7185TU152
1107620,1202578,10,TU,GASOIL,2018-02-13,178,5002TU122
1107621,1202817,10,TU,GASOIL,2018-02-12,376,5921TU80
1107622,1203403,8,TU,GASOIL,2018-02-13,12,8055TU138
1107623,1204377,4,TU,ESSENCE,2018-02-12,12,7005TU70
1107624,1204640,7,TU,ESSENCE,2018-02-13,2889,2397TU201
1107625,1205117,10,TU,GASOIL,2018-02-12,376,2978TU88
1107626,1206955,10,TU,GASOIL,2018-02-12,376,8564TU90
1107627,1207313,11,RS,ESSENCE,2018-02-13,808,RS163128
1107628,1207832,7,TU,GASOIL,2018-02-13,94,5536TU200
1107629,1208810,12,TU,GASOIL,2018-02-12,121,8265TU44
1107630,1209834,8,RS,GASOIL,2018-02-13,376,RS164421
1107631,1210235,7,RS,GASOIL,2018-02-12,198,RS140577
1107632,1210477,6,RS,GASOIL,2018-02-13,30,RS84490
1107633,1212353,7,TU,ESSENCE,2018-02-13,93,2805TU171
